city,year,month,oz
D,2016,1,46.76
D,2016,2,47.84
D,2016,3,43.81
D,2016,4,120.77
D,2016,5,60.39
D,2016,6,74.84
D,2016,7,42.66
D,2016,8,51.05
D,2016,9,60.06
D,2016,10,80.66
D,2016,11,50.8
D,2016,12,29.86
D,2017,1,38.72
D,2017,2,34.9
D,2017,3,37.11
D,2017,4,81.53
D,2017,5,104.59
D,2017,6,52.49
D,2017,10,95.32
D,2017,11,142.59
D,2017,12,61.09
D,2017,9,88.78
D,2017,8,35.64
D,2018,1,56.38
D,2018,2,55.62
D,2018,3,70.72
D,2018,4,92.01
D,2018,5,88.52
D,2018,6,103.65
D,2018,8,89.99
D,2018,9,53.05
D,2018,10,104.21
D,2018,11,85.91
D,2018,12,65.15
D,2018,7,75.19
D,2019,1,61.38
D,2019,2,44.4
D,2019,3,60.6
D,2019,4,100.53
D,2019,5,88.99
D,2019,6,102.19
D,2019,7,92.73
D,2019,8,81.68
D,2019,9,55.82
D,2019,10,76.12
D,2019,11,74.52
D,2019,12,76.37
D,2020,1,123.57
D,2020,2,61.52
D,2020,3,73.99
D,2020,4,110.56
D,2020,5,145.41
D,2020,6,123.11
D,2020,7,103.77
D,2020,8,176.47
D,2020,9,68.87
D,2020,10,79.98
D,2020,11,87.47
D,2020,12,80.75
D,2021,1,51.84
