city,year,month,pm25
D,2016,1,468.02
D,2016,2,416.39
D,2016,3,354.19
D,2016,4,263.81
D,2016,5,140.07
D,2016,6,246.9
D,2016,7,97.6
D,2016,8,57.78
D,2016,9,108.11
D,2016,10,445.62
D,2016,11,966.43
D,2016,12,510.89
D,2017,1,303.96
D,2017,2,234.95
D,2017,3,169.91
D,2017,4,237.97
D,2017,5,285.37
D,2017,6,142.56
D,2017,10,321.23
D,2017,11,740.99
D,2017,12,531.92
D,2017,7,54.5
D,2017,9,118.8
D,2017,8,60.44
D,2018,1,451.83
D,2018,2,306.65
D,2018,3,235.04
D,2018,4,232.03
D,2018,5,242.49
D,2018,6,330.46
D,2018,8,102.93
D,2018,9,124.32
D,2018,10,312.94
D,2018,11,503.94
D,2018,12,557.14
D,2018,7,67.42
D,2019,1,412.89
D,2019,2,265.09
D,2019,3,158.64
D,2019,4,182.66
D,2019,5,231.29
D,2019,6,108.38
D,2019,7,88.68
D,2019,8,83.77
D,2019,9,92.76
D,2019,10,373.41
D,2019,11,629.58
D,2019,12,388.06
D,2020,1,455.22
D,2020,2,242.73
D,2020,3,176.46
D,2020,4,83.24
D,2020,5,131.42
D,2020,6,109.94
D,2020,7,68.84
D,2020,8,48.76
D,2020,9,138.91
D,2020,10,275.07
D,2020,11,624.63
D,2020,12,422.37
D,2021,1,471.88
